bioguide_id,source,blame_count,compromise_count,credit_claiming_count,insult_count,policy_count,foreign_policy_count,legislative_discussion_count
A000055,tweets,0,0,0,0,0,0,0
A000148,floor,2,3,1,0,28,6,18
A000148,newsletters,3,6,6,1,44,21,14
A000148,tweets,0,0,0,0,1,0,0
A000369,newsletters,1,0,14,0,31,10,25
A000369,tweets,0,0,0,0,0,0,0
A000370,newsletters,6,1,12,1,90,8,63
A000370,statements,0,0,0,0,0,0,0
A000370,tweets,0,0,0,0,0,0,0
A000371,newsletters,0,0,0,0,5,0,2
A000371,tweets,0,0,0,0,0,0,0
A000372,floor,0,0,5,0,4,0,4
A000372,newsletters,19,6,34,0,85,8,54
A000372,tweets,0,0,0,0,1,0,0
A000375,floor,7,1,0,1,12,1,1
A000375,tweets,1,0,0,0,1,0,0
A000376,floor,0,0,0,0,0,0,0
A000376,newsletters,0,0,8,0,6,0,4
A000376,tweets,1,3,1,0,2,0,1
A000377,newsletters,6,3,10,0,33,5,21
A000377,tweets,0,0,0,0,0,0,0
A000379,floor,0,0,0,0,0,0,0
A000379,newsletters,6,9,4,1,74,20,38
B000490,floor,0,0,4,0,0,0,0
B000490,statements,27,31,32,27,68,0,24
B000490,tweets,0,0,0,0,0,0,0
B000574,floor,3,2,1,0,15,2,7
B000574,statements,0,0,0,0,0,0,0
B000668,floor,0,0,0,0,0,0,0
B000668,newsletters,7,4,15,0,55,9,46
B000668,tweets,0,0,0,0,0,0,0
B000740,newsletters,24,1,13,0,67,21,49
B000740,tweets,1,0,1,0,1,0,1
B000825,floor,7,1,3,0,26,8,12
B000825,newsletters,0,3,17,0,23,2,17
B000825,tweets,1,0,0,1,1,0,0
B000944,floor,0,1,1,0,3,0,1
B000944,statements,9,9,4,9,4,0,1
B000944,tweets,2,1,1,0,2,0,2
B001223,floor,0,0,0,0,1,0,1
B001223,newsletters,0,2,0,0,27,3,6
B001223,tweets,2,0,0,0,2,1,0
B001224,tweets,1,0,0,0,2,0,0
B001230,floor,0,1,3,0,3,0,2
B001230,newsletters,2,20,31,0,85,5,48
B001230,tweets,0,2,3,0,3,0,2
B001236,floor,0,1,2,0,2,0,0
B001236,statements,7,3,4,0,36,0,20
B001236,tweets,0,1,0,0,0,1,0
B001243,floor,7,3,3,3,32,1,11
B001243,newsletters,16,3,9,0,44,12,19
B001243,tweets,13,1,1,2,10,2,1
B001248,floor,0,0,0,0,0,0,0
B001248,newsletters,0,0,2,0,5,0,5
B001248,statements,90,43,61,24,299,13,175
B001248,tweets,1,0,1,1,2,0,1
B001257,floor,0,3,0,0,21,5,18
B001257,newsletters,17,4,32,2,100,13,58
B001257,statements,0,0,0,0,6,1,0
B001257,tweets,0,0,0,0,0,0,0
B001260,newsletters,0,0,0,1,4,0,2
B001260,statements,78,54,17,63,88,9,48
B001260,tweets,0,0,0,0,0,0,0
B001261,floor,2,1,0,0,8,3,5
B001261,tweets,0,0,0,0,0,0,0
B001267,floor,15,2,0,5,37,3,11
B001267,newsletters,4,14,21,0,63,7,34
B001267,statements,5,0,0,0,17,12,0
B001267,tweets,1,0,1,0,3,0,1
B001275,floor,0,0,1,0,16,4,16
