,id,last_name,first_name,middle_name,suffix,nickname,full_name,birthday,gender,type,state,district,senate_class,party,url,address,phone,contact_form,rss_url,twitter,facebook,youtube,youtube_id,bioguide_id,thomas_id,opensecrets_id,lis_id,fec_ids,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id,last_tweet,is_active,end_date,twitter_id
0,1,Brown,Sherrod,,,,Sherrod Brown,11/9/52,M,sen,OH,0,1,Democrat,https://www.brown.senate.gov,503 Hart Senate Office Building Washington DC 20510,202-224-2315,https://www.brown.senate.gov/contact/,http://www.brown.senate.gov/rss/feeds/?type=all&amp;,SenSherrodBrown,SenatorSherrodBrown,SherrodBrownOhio,UCgy8jfERh-t_ixkKKoCmglQ,B000944,136.0,N00003535,S307,"H2OH13033,S6OH00163",5051,400050,27018,Sherrod Brown,,29389,Sherrod Brown,1663155728205635587,1,2022-12-31,43910797
1,2,Cantwell,Maria,,,,Maria Cantwell,10/13/58,F,sen,WA,0,1,Democrat,https://www.cantwell.senate.gov,511 Hart Senate Office Building Washington DC 20510,202-224-3441,https://www.cantwell.senate.gov/public/index.cfm/email-maria,http://www.cantwell.senate.gov/public/index.cfm/rss/feed,SenatorCantwell,senatorcantwell,SenatorCantwell,UCN52UDqKgvHRk39ncySrIMw,C000127,172.0,N00007836,S275,"S8WA00194,H2WA01054",26137,300018,27122,Maria Cantwell,,39310,Maria Cantwell,1663235183561297925,1,2022-12-31,117501995
2,3,Cardin,Benjamin,L.,,,Benjamin L. Cardin,10/5/43,M,sen,MD,0,1,Democrat,https://www.cardin.senate.gov,509 Hart Senate Office Building Washington DC 20510,202-224-4524,https://www.cardin.senate.gov/contact/,http://www.cardin.senate.gov/rss/feeds/?type=all,SenatorCardin,senatorbencardin,senatorcardin,UCiQaJnMzlfzzG3VESgyZChA,C000141,174.0,N00001955,S308,"H6MD03177,S6MD03177",4004,400064,26888,Ben Cardin,,15408,Ben Cardin,1663171243799896064,1,2022-12-31,109071031
3,4,Carper,Thomas,Richard,,,Thomas R. Carper,1/23/47,M,sen,DE,0,1,Democrat,https://www.carper.senate.gov/public,513 Hart Senate Office Building Washington DC 20510,202-224-2441,https://www.carper.senate.gov/public/index.cfm/email-senator-carper,http://www.carper.senate.gov/public/index.cfm/rss/feed,SenatorCarper,tomcarper,senatorcarper,UCgLnvbKwu4B3navofj6Qvvw,C000174,179.0,N00012508,S277,S8DE00079,663,300019,22421,Tom Carper,,15015,Tom Carper,1663205809151508480,1,2022-12-31,249787913
4,5,Casey,Robert,P.,Jr.,Bob,"Robert P. Casey, Jr.",4/13/60,M,sen,PA,0,1,Democrat,https://www.casey.senate.gov,393 Russell Senate Office Building Washington DC 20510,202-224-6324,https://www.casey.senate.gov/contact,http://www.casey.senate.gov/rss/feeds/?all,SenBobCasey,SenatorBobCasey,SenatorBobCasey,UCtVssXhx-KuZa-hSvnsnJ0A,C001070,1828.0,N00027503,S309,S6PA00217,47036,412246,2541,"Bob Casey, Jr.",,40703,Bob Casey Jr.,1663323094713286656,1,2022-12-31,171598736
5,6,Feinstein,Dianne,,,,Dianne Feinstein,6/22/33,F,sen,CA,0,1,Democrat,https://www.feinstein.senate.gov,331 Hart Senate Office Building Washington DC 20510,202-224-3841,https://www.feinstein.senate.gov/public/index.cfm/e-mail-me,http://www.feinstein.senate.gov/public/?a=rss.feed,SenFeinstein,senatorfeinstein,SenatorFeinstein,UCtVC--6LR0ff2aOP8THpuEw,F000062,1332.0,N00007364,S221,S0CA00199,13061,300043,53273,Dianne Feinstein,,49300,Dianne Feinstein,1663206967391690753,1,2022-12-31,476256944
6,7,Klobuchar,Amy,Jean,,,Amy Klobuchar,5/25/60,F,sen,MN,0,1,Democrat,https://www.klobuchar.senate.gov,425 Dirksen Senate Office Building Washington DC 20510,202-224-3244,https://www.klobuchar.senate.gov/public/index.cfm/contact,,SenAmyKlobuchar,,senatorklobuchar,UCvdeJsDsV51tFb_hVqvtYGA,K000367,1826.0,N00027500,S311,S6MN00267,83701,412242,65092,Amy Klobuchar,,40700,Amy Klobuchar,1663269019401478146,1,2022-12-31,22044727
7,8,Menendez,Robert,,,Bob,Robert Menendez,1/1/54,M,sen,NJ,0,1,Democrat,https://www.menendez.senate.gov,528 Hart Senate Office Building Washington DC 20510,202-224-4744,https://www.menendez.senate.gov/contact,http://www.menendez.senate.gov/rss/feeds/index.cfm?type=news,SenatorMenendez,senatormenendez,SenatorMenendezNJ,UC0PV0K9Z5a9p3D5917KF5fw,M000639,791.0,N00000699,S306,"H2NJ13075,S6NJ00289",29608,400272,26961,Bob Menendez,,29373,Bob Menendez,1663297163953156098,1,2022-12-31,18695134
8,9,Sanders,Bernard,,,Bernie,Bernard Sanders,9/8/41,M,sen,VT,0,1,Independent,https://www.sanders.senate.gov,332 Dirksen Senate Office Building Washington DC 20510,202-224-5141,https://www.sanders.senate.gov/contact/,http://www.sanders.senate.gov/rss/,SenSanders,senatorsanders,senatorsanders,UCD_DaKNac0Ta-2PeHuoQ1uA,S000033,1010.0,N00000528,S313,"H8VT01016,S4VT00033",994,400357,27110,Bernie Sanders,,29147,Bernie Sanders,1663194361566314496,1,2022-12-31,29442313
9,10,Stabenow,Debbie,Ann,,,Debbie Stabenow,4/29/50,F,sen,MI,0,1,Democrat,https://www.stabenow.senate.gov,731 Hart Senate Office Building Washington DC 20510,202-224-4822,https://www.stabenow.senate.gov/contact,http://stabenow.senate.gov/rss/?p=news,SenStabenow,SenatorStabenow,senatorstabenow,UCFoDKCvxSwCUfDv-4Eg4K5A,S000770,1531.0,N00004118,S284,"S8MI00281,H6MI08163",45451,300093,515,Debbie Stabenow,,29732,Debbie Stabenow,1663168319489187847,1,2022-12-31,76456274
