,bioguide_id,count,blame_count,compromise_count,credit_claiming_count,insult_count,policy_count,foreign_policy_count,legislative_discussion_count,blame_sum,compromise_sum,credit_claiming_sum,insult_sum,policy_sum,foreign_policy_sum,legislative_discussion_sum,blame_mean,compromise_mean,credit_claiming_mean,insult_mean,policy_mean,foreign_policy_mean,legislative_discussion_mean
0,A000055,5,5,5,5,5,5,5,5,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
1,A000148,326,326,326,326,326,326,326,326,18,21,19,1,199,58,61,0.0552,0.0644,0.0583,0.0031,0.6104,0.1779,0.1871
2,A000369,379,379,379,379,379,379,379,379,62,25,53,0,256,22,142,0.1636,0.066,0.1398,0.0,0.6755,0.058,0.3747
3,A000370,455,455,455,455,455,455,455,455,12,4,30,1,154,9,89,0.0264,0.0088,0.0659,0.0022,0.3385,0.0198,0.1956
4,A000371,82,82,82,82,82,82,82,82,5,3,16,1,35,0,14,0.061,0.0366,0.1951,0.0122,0.4268,0.0,0.1707
5,A000372,594,594,594,594,594,594,594,594,60,17,90,2,320,26,197,0.101,0.0286,0.1515,0.0034,0.5387,0.0438,0.3316
6,A000375,260,260,260,260,260,260,260,260,56,11,31,9,175,7,50,0.2154,0.0423,0.1192,0.0346,0.6731,0.0269,0.1923
7,A000376,113,113,113,113,113,113,113,113,3,13,23,0,47,5,21,0.0265,0.115,0.2035,0.0,0.4159,0.0442,0.1858
8,A000377,322,321,321,322,321,322,322,322,29,19,33,2,159,19,88,0.0903,0.0592,0.1025,0.0062,0.4938,0.059,0.2733
9,A000378,4,4,4,4,4,4,4,4,0,0,1,0,1,0,0,0.0,0.0,0.25,0.0,0.25,0.0,0.0
10,A000379,295,295,295,295,295,295,295,295,12,12,13,1,128,36,74,0.0407,0.0407,0.0441,0.0034,0.4339,0.122,0.2508
11,B000490,457,451,453,457,451,457,457,457,3,28,120,1,169,1,59,0.0067,0.0618,0.2626,0.0022,0.3698,0.0022,0.1291
12,B000574,116,116,116,116,116,116,116,116,14,6,5,0,77,14,29,0.1207,0.0517,0.0431,0.0,0.6638,0.1207,0.25
13,B000668,299,299,299,299,299,299,299,299,24,4,29,0,153,15,113,0.0803,0.0134,0.097,0.0,0.5117,0.0502,0.3779
14,B000740,551,551,551,551,551,551,551,551,141,26,67,2,349,84,178,0.2559,0.0472,0.1216,0.0036,0.6334,0.1525,0.323
15,B000825,517,517,517,517,517,517,517,517,133,19,103,32,298,13,145,0.2573,0.0368,0.1992,0.0619,0.5764,0.0251,0.2805
16,B000944,407,402,402,407,402,407,407,407,37,25,37,2,140,12,54,0.092,0.0622,0.0909,0.005,0.344,0.0295,0.1327
17,B001223,315,314,314,315,314,315,315,315,42,3,7,20,148,8,37,0.1338,0.0096,0.0222,0.0637,0.4698,0.0254,0.1175
18,B001224,216,216,216,216,216,216,216,216,39,1,24,9,139,0,45,0.1806,0.0046,0.1111,0.0417,0.6435,0.0,0.2083
19,B001230,621,620,621,621,620,621,621,621,23,89,111,0,459,22,274,0.0371,0.1433,0.1787,0.0,0.7391,0.0354,0.4412
20,B001236,185,185,185,185,185,185,185,185,17,12,26,0,96,3,47,0.0919,0.0649,0.1405,0.0,0.5189,0.0162,0.2541
21,B001243,1086,1085,1085,1086,1084,1086,1085,1086,317,25,47,46,490,46,150,0.2922,0.023,0.0433,0.0424,0.4512,0.0424,0.1381
22,B001248,776,774,774,776,774,776,776,776,126,44,105,15,530,17,304,0.1628,0.0568,0.1353,0.0194,0.683,0.0219,0.3918
23,B001251,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,B001257,854,854,854,854,854,854,854,854,69,16,82,4,348,30,186,0.0808,0.0187,0.096,0.0047,0.4075,0.0351,0.2178
25,B001260,379,367,374,379,367,379,379,379,26,30,59,3,215,23,124,0.0708,0.0802,0.1557,0.0082,0.5673,0.0607,0.3272
26,B001261,421,421,421,421,421,421,421,421,70,5,4,12,84,7,21,0.1663,0.0119,0.0095,0.0285,0.1995,0.0166,0.0499
27,B001267,1217,1217,1217,1217,1217,1217,1217,1217,93,63,86,15,598,66,188,0.0764,0.0518,0.0707,0.0123,0.4914,0.0542,0.1545
28,B001275,47,47,47,47,47,47,47,47,4,1,7,1,34,4,26,0.0851,0.0213,0.1489,0.0213,0.7234,0.0851,0.5532
29,B001277,255,255,255,255,255,255,255,255,19,5,10,2,83,18,41,0.0745,0.0196,0.0392,0.0078,0.3255,0.0706,0.1608
30,B001278,339,336,336,339,336,339,336,339,29,16,44,1,237,2,82,0.0863,0.0476,0.1298,0.003,0.6991,0.006,0.2419
31,B001281,80,80,80,80,80,80,80,80,5,4,1,4,22,0,9,0.0625,0.05,0.0125,0.05,0.275,0.0,0.1125
32,B001282,245,245,245,245,244,245,244,245,31,12,21,2,134,70,69,0.1265,0.049,0.0857,0.0082,0.5469,0.2869,0.2816
33,B001285,367,367,367,367,367,367,367,367,23,17,59,2,272,8,178,0.0627,0.0463,0.1608,0.0054,0.7411,0.0218,0.485
34,B001286,97,97,97,97,97,97,97,97,0,9,28,0,27,0,12,0.0,0.0928,0.2887,0.0,0.2784,0.0,0.1237
35,B001287,343,343,343,343,343,343,343,343,2,24,43,0,96,9,34,0.0058,0.07,0.1254,0.0,0.2799,0.0262,0.0991
36,B001288,203,203,203,203,203,203,203,203,13,5,11,2,101,8,38,0.064,0.0246,0.0542,0.0099,0.4975,0.0394,0.1872
37,B001291,1078,1078,1078,1078,1078,1078,1078,1078,372,0,30,124,365,69,88,0.3451,0.0,0.0278,0.115,0.3386,0.064,0.0816
38,B001292,159,159,159,159,159,159,159,159,40,3,11,6,87,4,44,0.2516,0.0189,0.0692,0.0377,0.5472,0.0252,0.2767
39,B001295,598,597,597,598,597,598,598,598,69,3,57,5,292,18,170,0.1156,0.005,0.0953,0.0084,0.4883,0.0301,0.2843
40,B001296,40,40,40,40,39,40,39,40,12,0,3,3,15,2,4,0.3,0.0,0.075,0.0769,0.375,0.0513,0.1
41,B001297,349,349,349,349,348,349,348,349,45,18,24,4,157,18,70,0.1289,0.0516,0.0688,0.0115,0.4499,0.0517,0.2006
42,B001298,232,232,232,232,232,232,232,232,19,15,20,2,96,23,43,0.0819,0.0647,0.0862,0.0086,0.4138,0.0991,0.1853
43,B001299,483,483,483,483,483,483,483,483,110,3,29,53,192,45,101,0.2277,0.0062,0.06,0.1097,0.3975,0.0932,0.2091
44,B001300,715,714,714,715,714,715,715,715,52,26,64,5,507,10,227,0.0728,0.0364,0.0895,0.007,0.7091,0.014,0.3175
45,B001301,914,914,914,914,914,914,914,914,52,80,123,1,551,66,331,0.0569,0.0875,0.1346,0.0011,0.6028,0.0722,0.3621
46,B001302,1788,1788,1788,1788,1788,1788,1788,1788,418,6,29,74,752,94,286,0.2338,0.0034,0.0162,0.0414,0.4206,0.0526,0.16
47,B001303,731,731,731,731,731,731,731,731,14,41,112,1,281,16,141,0.0192,0.0561,0.1532,0.0014,0.3844,0.0219,0.1929
48,B001305,65,65,65,65,65,65,65,65,9,0,2,0,24,1,7,0.1385,0.0,0.0308,0.0,0.3692,0.0154,0.1077
49,B001306,216,216,216,216,216,216,216,216,26,2,28,3,139,11,69,0.1204,0.0093,0.1296,0.0139,0.6435,0.0509,0.3194
50,B001307,50,50,50,50,50,50,50,50,8,8,8,0,29,1,15,0.16,0.16,0.16,0.0,0.58,0.02,0.3
51,B001309,390,390,390,390,390,390,390,390,61,2,17,12,113,37,41,0.1564,0.0051,0.0436,0.0308,0.2897,0.0949,0.1051
