,id,last_name,first_name,middle_name,suffix,nickname,full_name,birthday,gender,type,state,district,senate_class,party,url,address,phone,contact_form,rss_url,twitter,facebook,youtube,youtube_id,bioguide_id,thomas_id,opensecrets_id,lis_id,fec_ids,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id,last_tweet,is_active,end_date,twitter_id,mastodon,serving_current_chamber_since,serving_congress_since
0,619,Brown,Sherrod,,,,Sherrod Brown,1952-11-09,M,sen,OH,0,1,Democrat,https://www.brown.senate.gov,503 Hart Senate Office Building Washington DC 20510,202-224-2315,https://www.brown.senate.gov/contact/,http://www.brown.senate.gov/rss/feeds/?type=all&amp;,SenSherrodBrown,SenatorSherrodBrown,SherrodBrownOhio,UCgy8jfERh-t_ixkKKoCmglQ,B000944,136,N00003535,S307,"H2OH13033,S6OH00163",5051,400050,27018,Sherrod Brown,,29389,Sherrod Brown,,,,43910797,,2007-01-03,1993-01-03
1,620,Cantwell,Maria,,,,Maria Cantwell,1958-10-13,F,sen,WA,0,1,Democrat,https://www.cantwell.senate.gov,511 Hart Senate Office Building Washington DC 20510,202-224-3441,https://www.cantwell.senate.gov/public/index.cfm/email-maria,http://www.cantwell.senate.gov/public/index.cfm/rss/feed,SenatorCantwell,senatorcantwell,SenatorCantwell,UCN52UDqKgvHRk39ncySrIMw,C000127,172,N00007836,S275,"S8WA00194,H2WA01054",26137,300018,27122,Maria Cantwell,,39310,Maria Cantwell,,,,117501995,,2001-01-03,1993-01-03
2,621,Cardin,Benjamin,L.,,,Benjamin L. Cardin,1943-10-05,M,sen,MD,0,1,Democrat,https://www.cardin.senate.gov,509 Hart Senate Office Building Washington DC 20510,202-224-4524,https://www.cardin.senate.gov/contact/,http://www.cardin.senate.gov/rss/feeds/?type=all,SenatorCardin,senatorbencardin,senatorcardin,UCiQaJnMzlfzzG3VESgyZChA,C000141,174,N00001955,S308,"H6MD03177,S6MD03177",4004,400064,26888,Ben Cardin,,15408,Ben Cardin,,,,109071031,,2007-01-03,1987-01-03
3,622,Carper,Thomas,Richard,,,Thomas R. Carper,1947-01-23,M,sen,DE,0,1,Democrat,https://www.carper.senate.gov,513 Hart Senate Office Building Washington DC 20510,202-224-2441,https://www.carper.senate.gov/contact/,http://www.carper.senate.gov/public/index.cfm/rss/feed,SenatorCarper,tomcarper,senatorcarper,UCgLnvbKwu4B3navofj6Qvvw,C000174,179,N00012508,S277,S8DE00079,663,300019,22421,Tom Carper,,15015,Tom Carper,,,,249787913,,2001-01-03,1983-01-03
4,623,Casey,Robert,P.,Jr.,Bob,"Robert P. Casey, Jr.",1960-04-13,M,sen,PA,0,1,Democrat,https://www.casey.senate.gov,393 Russell Senate Office Building Washington DC 20510,202-224-6324,https://www.casey.senate.gov/contact,http://www.casey.senate.gov/rss/feeds/?all,SenBobCasey,SenatorBobCasey,SenatorBobCasey,UCtVssXhx-KuZa-hSvnsnJ0A,C001070,1828,N00027503,S309,S6PA00217,47036,412246,2541,"Bob Casey, Jr.",,40703,Bob Casey Jr.,,,,171598736,,2007-01-03,2007-01-03
5,624,Feinstein,Dianne,,,,Dianne Feinstein,1933-06-22,F,sen,CA,0,1,Democrat,https://www.feinstein.senate.gov,331 Hart Senate Office Building Washington DC 20510,202-224-3841,https://www.feinstein.senate.gov/public/index.cfm/e-mail-me,http://www.feinstein.senate.gov/public/?a=rss.feed,SenFeinstein,senatorfeinstein,SenatorFeinstein,UCtVC--6LR0ff2aOP8THpuEw,F000062,1332,N00007364,S221,S0CA00199,13061,300043,53273,Dianne Feinstein,,49300,Dianne Feinstein,,,,476256944,,1991-01-03,1991-01-03
6,625,Klobuchar,Amy,Jean,,,Amy Klobuchar,1960-05-25,F,sen,MN,0,1,Democrat,https://www.klobuchar.senate.gov,425 Dirksen Senate Office Building Washington DC 20510,202-224-3244,https://www.klobuchar.senate.gov/public/index.cfm/contact,,SenAmyKlobuchar,,senatorklobuchar,UCvdeJsDsV51tFb_hVqvtYGA,K000367,1826,N00027500,S311,S6MN00267,83701,412242,65092,Amy Klobuchar,,40700,Amy Klobuchar,,,,22044727,,2007-01-03,2007-01-03
7,626,Menendez,Robert,,,Bob,Robert Menendez,1954-01-01,M,sen,NJ,0,1,Democrat,https://www.menendez.senate.gov,528 Hart Senate Office Building Washington DC 20510,202-224-4744,https://www.menendez.senate.gov/contact,http://www.menendez.senate.gov/rss/feeds/index.cfm?type=news,SenatorMenendez,senatormenendez,SenatorMenendezNJ,UC0PV0K9Z5a9p3D5917KF5fw,M000639,791,N00000699,S306,"H2NJ13075,S6NJ00289",29608,400272,26961,Bob Menendez,,29373,Bob Menendez,,,,18695134,,2005-01-03,1993-01-03
8,627,Sanders,Bernard,,,Bernie,Bernard Sanders,1941-09-08,M,sen,VT,0,1,Independent,https://www.sanders.senate.gov,332 Dirksen Senate Office Building Washington DC 20510,202-224-5141,https://www.sanders.senate.gov/contact/,http://www.sanders.senate.gov/rss/,SenSanders,senatorsanders,senatorsanders,UCD_DaKNac0Ta-2PeHuoQ1uA,S000033,1010,N00000528,S313,"H8VT01016,S4VT00033",994,400357,27110,Bernie Sanders,,29147,Bernie Sanders,,,,29442313,,2007-01-03,1991-01-03
9,628,Stabenow,Debbie,Ann,,,Debbie Stabenow,1950-04-29,F,sen,MI,0,1,Democrat,https://www.stabenow.senate.gov,731 Hart Senate Office Building Washington DC 20510,202-224-4822,https://www.stabenow.senate.gov/contact,http://stabenow.senate.gov/rss/?p=news,SenStabenow,SenatorStabenow,senatorstabenow,UCFoDKCvxSwCUfDv-4Eg4K5A,S000770,1531,N00004118,S284,"S8MI00281,H6MI08163",45451,300093,515,Debbie Stabenow,,29732,Debbie Stabenow,,,,76456274,,2001-01-03,1997-01-03
10,629,Tester,Jon,,,,Jon Tester,1956-08-21,M,sen,MT,0,1,Democrat,https://www.tester.senate.gov,311 Hart Senate Office Building Washington DC 20510,202-224-2644,https://www.tester.senate.gov/?p=email_senator,http://www.tester.senate.gov/rss/?p=hot_topic,SenatorTester,senatortester,senatorjontester,UCgXAF-CON1coZFMxQkfj0fg,T000464,1829,N00027605,S314,S6MT00162,1020176,412244,20928,Jon Tester,,40702,Jon Tester,,,,515822213,,2007-01-03,2007-01-03
11,630,Whitehouse,Sheldon,,,,Sheldon Whitehouse,1955-10-20,M,sen,RI,0,1,Democrat,https://www.whitehouse.senate.gov,530 Hart Senate Office Building Washington DC 20510,202-224-2921,https://www.whitehouse.senate.gov/contact/email-sheldon,http://www.whitehouse.senate.gov/rss/feeds/?type=all&amp;cachebuster=1,SenWhitehouse,SenatorWhitehouse,SenatorWhitehouse,UCnG0N70SNBkNqvIMLodPTIA,W000802,1823,N00027533,S316,S6RI00221,92235,412247,2572,Sheldon Whitehouse,,40704,Sheldon Whitehouse,,,,242555999,,2007-01-03,2007-01-03
12,631,Barrasso,John,A.,,,John Barrasso,1952-07-21,M,sen,WY,0,1,Republican,https://www.barrasso.senate.gov,307 Dirksen Senate Office Building Washington DC 20510,202-224-6441,https://www.barrasso.senate.gov/public/index.cfm/contact-form,http://www.barrasso.senate.gov/public/index.cfm?FuseAction=Rss.Feed,SenJohnBarrasso,johnbarrasso,barrassowyo,UC80PfiCAB2Fe1MFayWlR6GQ,B001261,1881,N00006236,S317,S6WY00068,1024777,412251,52662,John Barrasso,,40707,John Barrasso,,,,202206694,,2007-01-03,2007-01-03
13,632,Wicker,Roger,F.,,,Roger F. Wicker,1951-07-05,M,sen,MS,0,1,Republican,https://www.wicker.senate.gov,555 Dirksen Senate Office Building Washington DC 20510,202-224-6253,https://www.wicker.senate.gov/public/index.cfm/contact,,SenatorWicker,SenatorWicker,SenatorWicker,UCIlKHiTjSkcQP_knBcXHWSg,W000437,1226,N00003280,S318,"H4MS01078,S8MS00196",18203,400432,21926,Roger Wicker,,29534,Roger Wicker,,,,264219447,,2009-01-03,1995-01-03
14,633,Collins,Susan,M.,,,Susan M. Collins,1952-12-07,F,sen,ME,0,2,Republican,https://www.collins.senate.gov,413 Dirksen Senate Office Building Washington DC 20510,202-224-2523,https://www.collins.senate.gov/contact,http://www.collins.senate.gov/public/?a=rss.feed,SenatorCollins,susancollins,SenatorSusanCollins,UC6GYaBx5kT2r4PN8KENxC-w,C001035,1541,N00000491,S252,S6ME00159,45738,300025,379,Susan Collins,,49703,Susan Collins,,,,19726613,,1997-01-03,1997-01-03
15,634,Cornyn,John,,,,John Cornyn,1952-02-02,M,sen,TX,0,2,Republican,https://www.cornyn.senate.gov,517 Hart Senate Office Building Washington DC 20510,202-224-2934,https://www.cornyn.senate.gov/contact,http://www.cornyn.senate.gov/public/?a=rss.feed,JohnCornyn,sen.johncornyn,senjohncornyn,UCyQwLQavlOaJ64YuY_VMtiQ,C001056,1692,N00024852,S287,S2TX00106,93131,300027,15375,John Cornyn,,40305,John Cornyn,,,,13218102,,2001-01-03,2001-01-03
16,635,Durbin,Richard,J.,,,Richard J. Durbin,1944-11-21,M,sen,IL,0,2,Democrat,https://www.durbin.senate.gov,711 Hart Senate Office Building Washington DC 20510,202-224-2152,https://www.durbin.senate.gov/contact/,http://durbin.senate.gov/public/index.cfm/rss/feed,SenatorDurbin,SenatorDurbin,SenatorDurbin,UCkbixlNCxcKAffEhe3X5-lw,D000563,326,N00004981,S253,"S6IL00151,H2IL20026",6741,300038,26847,Dick Durbin,,15021,Dick Durbin,,,,247334603,,1997-01-03,1983-01-03
17,636,Graham,Lindsey,O.,,,Lindsey Graham,1955-07-09,M,sen,SC,0,2,Republican,https://www.lgraham.senate.gov/public,290 Russell Senate Office Building Washington DC 20510,202-224-5972,https://www.lgraham.senate.gov/public/index.cfm/e-mail-senator-graham,http://www.lgraham.senate.gov/public/index.cfm?FuseAction=Rss.Feed,GrahamBlog,USSenatorLindseyGraham,USSenLindseyGraham,UClLGZMA5Ei2Z8fR1PLEx6yQ,G000359,452,N00009975,S293,"S0SC00149,H4SC03087",36782,300047,21992,Lindsey Graham,,29566,Lindsey Graham,,,,14845376,,2003-01-03,1995-01-03
18,637,McConnell,Mitch,,,,Mitch McConnell,1942-02-20,M,sen,KY,0,2,Republican,https://www.mcconnell.senate.gov,317 Russell Senate Office Building Washington DC 20510,202-224-2541,https://www.mcconnell.senate.gov/public/index.cfm?p=contact,http://www.mcconnell.senate.gov/public/?a=rss.feed,McConnellPress,mitchmcconnell,,,M000355,1395,N00003389,S174,S2KY00012,2351,300072,53298,Mitch McConnell,,14921,Mitch McConnell,,,,339822881,,1985-01-03,1985-01-03
19,638,Merkley,Jeff,,,,Jeff Merkley,1956-10-24,M,sen,OR,0,2,Democrat,https://www.merkley.senate.gov,531 Hart Senate Office Building Washington DC 20510,202-224-3753,https://www.merkley.senate.gov/contact/,http://www.merkley.senate.gov/rss/,SenJeffMerkley,jeffmerkley,SenatorJeffMerkley,UCRoXttCJhMnLVCxCaa6VnNQ,M001176,1900,N00029303,S322,S8OR00207,1029842,412325,23644,Jeff Merkley,,40908,Jeff Merkley,,,,29201047,,2009-01-03,2009-01-03
20,639,Reed,John,F.,,Jack,Jack Reed,1949-11-12,M,sen,RI,0,2,Democrat,https://www.reed.senate.gov,728 Hart Senate Office Building Washington DC 20510,202-224-4642,https://www.reed.senate.gov/contact/,https://www.reed.senate.gov//rss/feeds/?type=all,SenJackReed,SenJackReed,SenatorReed,UCT_aFVtsjxPwWKfO-PW_hPw,R000122,949,N00000362,S259,"S6RI00163,H0RI02071",24239,300081,27060,Jack Reed,,29142,Jack Reed (Rhode Island politician),,,,486694111,,1997-01-03,1991-01-03
21,640,Risch,James,E.,,,James E. Risch,1943-05-03,M,sen,ID,0,2,Republican,https://www.risch.senate.gov,483 Russell Senate Office Building Washington DC 20510,202-224-2752,https://www.risch.senate.gov/public/index.cfm?p=Email,,SenatorRisch,senatorjimrisch,SenatorJamesRisch,UCncKW8xyT5UbPNO27YuQnBA,R000584,1896,N00029441,S323,S8ID00092,1020034,412322,2919,Jim Risch,,40902,Jim Risch,,,,1096059529,,2009-01-03,2009-01-03
22,641,Shaheen,Jeanne,,,,Jeanne Shaheen,1947-01-28,F,sen,NH,0,2,Democrat,https://www.shaheen.senate.gov,506 Hart Senate Office Building Washington DC 20510,202-224-2841,https://www.shaheen.senate.gov/contact/contact-jeanne,http://www.shaheen.senate.gov/rss/,SenatorShaheen,SenatorShaheen,senatorshaheen,UCjLZAZMbDrybHyttdEC9LFA,S001181,1901,N00024790,S324,S0NH00219,22850,412323,1663,Jeanne Shaheen,,40906,Jeanne Shaheen,,,,109287731,,2009-01-03,2009-01-03
23,642,Warner,Mark,R.,,,Mark R. Warner,1954-12-15,M,sen,VA,0,2,Democrat,https://www.warner.senate.gov,703 Hart Senate Office Building Washington DC 20510,202-224-2023,https://www.warner.senate.gov/public/index.cfm?p=Contact,http://www.warner.senate.gov/public/?a=rss.feed,MarkWarner,MarkRWarner,SenatorMarkWarner,UCwyivNlEGf4sGd1oDLfY5jw,W000805,1897,N00002097,S327,"S6VA00093,P80003023",7630,412321,535,Mark Warner,,40909,Mark Warner,,,,7429102,,2009-01-03,2009-01-03
