,bioguide_id,source,count,blame_count,compromise_count,credit_claiming_count,insult_count,policy_count,foreign_policy_count,legislative_discussion_count,blame_sum,compromise_sum,credit_claiming_sum,insult_sum,policy_sum,foreign_policy_sum,legislative_discussion_sum,blame_mean,compromise_mean,credit_claiming_mean,insult_mean,policy_mean,foreign_policy_mean,legislative_discussion_mean
0,A000055,tweets,5,5,5,5,5,5,5,5,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
1,A000148,floor,59,59,59,59,59,59,59,59,2,3,1,0,39,10,23,0.0339,0.0508,0.0169,0.0,0.661,0.1695,0.3898
2,A000148,newsletters,236,236,236,236,236,236,236,236,11,16,16,1,145,45,34,0.0466,0.0678,0.0678,0.0042,0.6144,0.1907,0.1441
3,A000148,statements,7,7,7,7,7,7,7,7,1,1,0,0,3,0,0,0.1429,0.1429,0.0,0.0,0.4286,0.0,0.0
4,A000148,tweets,24,24,24,24,24,24,24,24,4,1,2,0,12,3,4,0.1667,0.0417,0.0833,0.0,0.5,0.125,0.1667
5,A000369,floor,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,A000369,newsletters,359,359,359,359,359,359,359,359,61,25,51,0,249,22,136,0.1699,0.0696,0.1421,0.0,0.6936,0.0613,0.3788
7,A000369,tweets,11,11,11,11,11,11,11,11,1,0,2,0,7,0,6,0.0909,0.0,0.1818,0.0,0.6364,0.0,0.5455
8,A000370,floor,15,15,15,15,15,15,15,15,1,0,0,0,4,0,1,0.0667,0.0,0.0,0.0,0.2667,0.0,0.0667
9,A000370,newsletters,373,373,373,373,373,373,373,373,10,3,18,1,132,9,83,0.0268,0.008,0.0483,0.0027,0.3539,0.0241,0.2225
10,A000370,statements,41,41,41,41,41,41,41,41,0,1,12,0,10,0,2,0.0,0.0244,0.2927,0.0,0.2439,0.0,0.0488
11,A000370,tweets,26,26,26,26,26,26,26,26,1,0,0,0,8,0,3,0.0385,0.0,0.0,0.0,0.3077,0.0,0.1154
12,A000371,floor,28,28,28,28,28,28,28,28,2,1,0,1,8,0,6,0.0714,0.0357,0.0,0.0357,0.2857,0.0,0.2143
13,A000371,newsletters,37,37,37,37,37,37,37,37,0,0,8,0,17,0,5,0.0,0.0,0.2162,0.0,0.4595,0.0,0.1351
14,A000371,statements,8,8,8,8,8,8,8,8,0,0,6,0,4,0,0,0.0,0.0,0.75,0.0,0.5,0.0,0.0
15,A000371,tweets,9,9,9,9,9,9,9,9,3,2,2,0,6,0,3,0.3333,0.2222,0.2222,0.0,0.6667,0.0,0.3333
16,A000372,floor,64,64,64,64,64,64,64,64,12,2,8,0,32,0,17,0.1875,0.0313,0.125,0.0,0.5,0.0,0.2656
17,A000372,newsletters,508,508,508,508,508,508,508,508,43,15,76,1,273,26,168,0.0846,0.0295,0.1496,0.002,0.5374,0.0512,0.3307
18,A000372,tweets,22,22,22,22,22,22,22,22,5,0,6,1,15,0,12,0.2273,0.0,0.2727,0.0455,0.6818,0.0,0.5455
19,A000375,floor,30,30,30,30,30,30,30,30,8,1,2,1,15,1,4,0.2667,0.0333,0.0667,0.0333,0.5,0.0333,0.1333
20,A000375,newsletters,185,185,185,185,185,185,185,185,25,10,25,2,125,6,37,0.1351,0.0541,0.1351,0.0108,0.6757,0.0324,0.2
21,A000375,tweets,45,45,45,45,45,45,45,45,23,0,4,6,35,0,9,0.5111,0.0,0.0889,0.1333,0.7778,0.0,0.2
22,A000376,floor,12,12,12,12,12,12,12,12,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0833
23,A000376,newsletters,40,40,40,40,40,40,40,40,0,2,11,0,16,0,8,0.0,0.05,0.275,0.0,0.4,0.0,0.2
24,A000376,statements,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,A000376,tweets,54,54,54,54,54,54,54,54,3,11,12,0,31,5,12,0.0556,0.2037,0.2222,0.0,0.5741,0.0926,0.2222
26,A000377,floor,32,32,32,32,32,32,32,32,1,1,2,0,21,0,17,0.0313,0.0313,0.0625,0.0,0.6563,0.0,0.5313
27,A000377,newsletters,256,256,256,256,256,256,256,256,23,16,30,1,117,15,62,0.0898,0.0625,0.1172,0.0039,0.457,0.0586,0.2422
28,A000377,statements,9,8,8,9,8,9,9,9,0,1,0,0,5,3,4,0.0,0.125,0.0,0.0,0.5556,0.3333,0.4444
29,A000377,tweets,25,25,25,25,25,25,25,25,5,1,1,1,16,1,5,0.2,0.04,0.04,0.04,0.64,0.04,0.2
30,A000378,newsletters,4,4,4,4,4,4,4,4,0,0,1,0,1,0,0,0.0,0.0,0.25,0.0,0.25,0.0,0.0
31,A000379,floor,43,43,43,43,43,43,43,43,2,3,0,0,10,5,6,0.0465,0.0698,0.0,0.0,0.2326,0.1163,0.1395
32,A000379,newsletters,252,252,252,252,252,252,252,252,10,9,13,1,118,31,68,0.0397,0.0357,0.0516,0.004,0.4683,0.123,0.2698
33,B000490,floor,189,189,189,189,189,189,189,189,2,1,13,1,16,0,4,0.0106,0.0053,0.0688,0.0053,0.0847,0.0,0.0212
34,B000490,statements,260,254,256,260,254,260,260,260,0,27,105,0,149,1,52,0.0,0.1055,0.4038,0.0,0.5731,0.0038,0.2
