,Unnamed: 0,bioguide_id,source,count,blame_count,compromise_count,credit_claiming_count,insult_count,policy_count,foreign_policy_count,legislative_discussion_count,blame_percent,compromise_percent,credit_claiming_percent,insult_percent,policy_percent,foreign_policy_percent,legislative_discussion_percent,blame_rank,compromise_rank,credit_claiming_rank,insult_rank,policy_rank,foreign_policy_rank,legislative_discussion_rank
1394,0,A000055,total,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,492.0,471.5,500.0,396.5,520.5,458.0,514.5
1395,1,A000148,total,121,5,9,7,1,73,27,32,0.04132231404958678,0.0743801652892562,0.05785123966942149,0.008264462809917356,0.6033057851239669,0.2231404958677686,0.2644628099173554,351.0,132.5,353.0,214.0,90.0,40.0,177.0
1396,2,A000369,total,37,1,0,14,0,31,10,25,0.02702702702702703,0.0,0.3783783783783784,0.0,0.8378378378378378,0.2702702702702703,0.6756756756756757,394.0,471.5,5.0,396.5,7.0,30.0,4.0
1397,3,A000370,total,180,6,1,12,1,90,8,63,0.03333333333333333,0.005555555555555556,0.06666666666666667,0.005555555555555556,0.5,0.044444444444444446,0.35,375.5,404.0,321.5,243.5,193.0,269.5,72.0
1398,4,A000371,total,10,0,0,0,0,5,0,2,0.0,0.0,0.0,0.0,0.5,0.0,0.2,492.0,471.5,500.0,396.5,193.0,458.0,291.5
1399,5,A000372,total,160,19,6,39,0,90,8,58,0.11875,0.0375,0.24375,0.0,0.5625,0.05,0.3625,189.5,244.0,23.0,396.5,129.0,255.5,62.0
1400,6,A000375,total,23,8,1,0,1,13,1,1,0.34782608695652173,0.043478260869565216,0.0,0.043478260869565216,0.5652173913043478,0.043478260869565216,0.043478260869565216,25.5,220.0,500.0,94.0,124.5,276.5,485.5
1401,7,A000376,total,27,1,3,9,0,8,0,5,0.037037037037037035,0.1111111111111111,0.3333333333333333,0.0,0.2962962962962963,0.0,0.18518518518518517,362.5,76.0,9.5,396.5,433.5,458.0,324.5
1402,8,A000377,total,66,6,3,10,0,33,5,21,0.09090909090909091,0.045454545454545456,0.15151515151515152,0.0,0.5,0.07575757575757576,0.3181818181818182,239.0,212.0,112.0,396.5,193.0,184.0,108.0
1403,9,A000379,total,160,6,9,4,1,74,20,38,0.0375,0.05625,0.025,0.00625,0.4625,0.125,0.2375,361.0,179.5,440.0,234.0,235.0,100.5,227.0
1404,10,B000490,total,180,27,31,36,27,68,0,24,0.15,0.17222222222222222,0.2,0.15,0.37777777777777777,0.0,0.13333333333333333,149.0,37.0,56.0,36.0,357.0,458.0,407.0
1405,11,B000574,total,16,3,2,1,0,15,2,7,0.1875,0.125,0.0625,0.0,0.9375,0.125,0.4375,101.5,68.0,340.5,396.5,4.0,100.5,35.5
1406,12,B000668,total,110,7,4,15,0,55,9,46,0.06363636363636363,0.03636363636363636,0.13636363636363635,0.0,0.5,0.08181818181818182,0.41818181818181815,298.0,250.0,139.0,396.5,193.0,171.0,42.0
1407,13,B000740,total,105,25,1,14,0,68,21,50,0.23809523809523808,0.009523809523809525,0.13333333333333333,0.0,0.6476190476190476,0.2,0.47619047619047616,69.0,385.0,149.5,396.5,63.0,53.0,21.0
1408,14,B000825,total,65,8,4,20,1,50,10,29,0.12307692307692308,0.06153846153846154,0.3076923076923077,0.015384615384615385,0.7692307692307693,0.15384615384615385,0.4461538461538462,181.0,164.0,13.0,183.0,15.5,74.0,32.0
1409,15,B000944,total,74,11,11,6,9,9,0,4,0.14864864864864866,0.14864864864864866,0.08108108108108109,0.12162162162162163,0.12162162162162163,0.0,0.05405405405405406,151.0,49.0,278.0,48.0,504.0,458.0,482.0
1410,16,B001223,total,57,2,2,0,0,30,4,7,0.03508771929824561,0.03508771929824561,0.0,0.0,0.5263157894736842,0.07017543859649122,0.12280701754385964,370.0,257.0,500.0,396.5,162.5,199.0,425.0
1411,17,B001224,total,3,1,0,0,0,2,0,0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,31.5,471.5,500.0,396.5,51.5,458.0,514.5
1412,18,B001230,total,156,2,23,37,0,91,5,52,0.01282051282051282,0.14743589743589744,0.23717948717948717,0.0,0.5833333333333334,0.03205128205128205,0.3333333333333333,434.0,51.0,28.0,396.5,111.0,303.0,87.0
1413,19,B001236,total,62,7,5,6,0,38,1,20,0.11290322580645161,0.08064516129032258,0.0967741935483871,0.0,0.6129032258064516,0.016129032258064516,0.3225806451612903,203.0,120.0,237.5,396.5,81.0,354.5,102.5
1414,20,B001243,total,231,36,7,13,5,86,15,31,0.15584415584415584,0.030303030303030304,0.05627705627705628,0.021645021645021644,0.3722943722943723,0.06493506493506493,0.1341991341991342,143.0,278.5,357.0,153.0,367.0,214.0,404.0
1415,21,B001248,total,412,91,43,64,25,306,13,181,0.220873786407767,0.10436893203883495,0.1553398058252427,0.06067961165048544,0.7427184466019418,0.03155339805825243,0.4393203883495146,84.0,86.0,105.0,74.0,24.0,304.0,33.0
1416,22,B001257,total,281,17,7,32,2,127,19,76,0.060498220640569395,0.02491103202846975,0.11387900355871886,0.0071174377224199285,0.45195729537366547,0.06761565836298933,0.2704626334519573,305.0,306.0,197.0,222.0,252.0,205.0,166.0
1417,23,B001260,total,155,78,54,17,64,92,9,50,0.5032258064516129,0.34838709677419355,0.10967741935483871,0.4129032258064516,0.5935483870967742,0.05806451612903226,0.3225806451612903,9.0,14.0,206.0,9.0,99.0,231.0,102.5
1418,24,B001261,total,130,2,1,0,0,8,3,5,0.015384615384615385,0.007692307692307693,0.0,0.0,0.06153846153846154,0.023076923076923078,0.038461538461538464,419.0,397.0,500.0,396.5,508.0,329.0,488.0
1419,25,B001267,total,225,25,16,22,5,120,22,46,0.1111111111111111,0.07111111111111111,0.09777777777777778,0.022222222222222223,0.5333333333333333,0.09777777777777778,0.20444444444444446,206.0,141.0,236.0,152.0,156.0,138.0,282.0
1420,26,B001275,total,25,2,1,3,1,21,4,19,0.08,0.04,0.12,0.04,0.84,0.16,0.76,264.0,235.0,185.5,105.5,6.0,70.0,2.0
1421,27,B001277,total,97,3,3,3,0,15,11,4,0.030927835051546393,0.030927835051546393,0.030927835051546393,0.0,0.15463917525773196,0.1134020618556701,0.041237113402061855,384.0,276.0,424.0,396.5,493.0,120.0,487.0
1422,28,B001278,total,67,6,2,4,1,46,0,14,0.08955223880597014,0.029850746268656716,0.05970149253731343,0.014925373134328358,0.6865671641791045,0.0,0.208955223880597,243.0,281.0,347.0,184.0,40.0,458.0,271.5
